From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),PubMed ID
SLC38A7,Q9NVC3,reviewed,S38A7_HUMAN,Sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7),SLC38A7 SNAT7,Homo sapiens (Human),462,axon [GO:0030424]; lysosomal membrane [GO:0005765]; neuronal cell body [GO:0043025]; L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-asparagine transmembrane transporter activity [GO:0015182]; L-asparagine:sodium symporter activity [GO:0140901]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; L-glutamine transmembrane transporter activity [GO:0015186]; L-glutamine:sodium symporter activity [GO:0140902]; L-histidine transmembrane transporter activity [GO:0005290]; L-leucine transmembrane transporter activity [GO:0015190]; L-methionine transmembrane transporter activity [GO:0015191]; L-serine transmembrane transporter activity [GO:0015194]; amino acid transmembrane transport [GO:0003333]; asparagine transport [GO:0006867]; glutamine transport [GO:0006868]; sodium ion transport [GO:0006814],amino acid transmembrane transport [GO:0003333]; asparagine transport [GO:0006867]; glutamine transport [GO:0006868]; sodium ion transport [GO:0006814],axon [GO:0030424]; lysosomal membrane [GO:0005765]; neuronal cell body [GO:0043025],L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-asparagine transmembrane transporter activity [GO:0015182]; L-asparagine:sodium symporter activity [GO:0140901]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; L-glutamine transmembrane transporter activity [GO:0015186]; L-glutamine:sodium symporter activity [GO:0140902]; L-histidine transmembrane transporter activity [GO:0005290]; L-leucine transmembrane transporter activity [GO:0015190]; L-methionine transmembrane transporter activity [GO:0015191]; L-serine transmembrane transporter activity [GO:0015194],14702039; 15489334; 23186163; 28416685; 35561222
LGALS2,P05162,reviewed,LEG2_HUMAN,Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2),LGALS2,Homo sapiens (Human),132,cytoplasm [GO:0005737]; galectin complex [GO:1990724]; carbohydrate binding [GO:0030246]; galactoside binding [GO:0016936]; cell-cell adhesion [GO:0098609]; positive regulation of apoptotic process [GO:0043065]; positive regulation of inflammatory response [GO:0050729]; T cell homeostasis [GO:0043029],cell-cell adhesion [GO:0098609]; positive regulation of apoptotic process [GO:0043065]; positive regulation of inflammatory response [GO:0050729]; T cell homeostasis [GO:0043029],cytoplasm [GO:0005737]; galectin complex [GO:1990724],carbohydrate binding [GO:0030246]; galactoside binding [GO:0016936],1375225; 15461802; 10591208; 15489334; 1988031; 3020551; 8262940; 16959974
KCNH5,Q8NCM2,reviewed,KCNH5_HUMAN,Potassium voltage-gated channel subfamily H member 5 (Ether-a-go-go potassium channel 2) (hEAG2) (Voltage-gated potassium channel subunit Kv10.2),KCNH5 EAG2,Homo sapiens (Human),988,cell surface [GO:0009986]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; protein-containing complex binding [GO:0044877]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249]; potassium ion transmembrane transport [GO:0071805]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391],potassium ion transmembrane transport [GO:0071805]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391],cell surface [GO:0009986]; plasma membrane [GO:0005886],calmodulin binding [GO:0005516]; protein-containing complex binding [GO:0044877]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249],11943152; 12135768; 14702039; 12508121; 15489334; 18655026; 23647072
IGLV3-1,P01715,reviewed,LV301_HUMAN,Immunoglobulin lambda variable 3-1 (Ig lambda chain V-IV region Bau) (Ig lambda chain V-IV region MOL) (Ig lambda chain V-IV region X),IGLV3-1,Homo sapiens (Human),115,extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955],adaptive immune response [GO:0002250]; immune response [GO:0006955],extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],antigen binding [GO:0003823],10591208; 4883841; 4435717; 3103603; 11872955; 17576170; 20176268; 22158414; 24600447
FAM166C,A6NJV1,reviewed,F166C_HUMAN,Protein FAM166C (Family with sequence similarity 166 member C),FAM166C C2orf70,Homo sapiens (Human),201,nucleus [GO:0005634],,nucleus [GO:0005634],,15815621
SLC28A1,O00337,reviewed,S28A1_HUMAN,Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1),SLC28A1 CNT1,Homo sapiens (Human),649,brush border membrane [GO:0031526]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; azole transmembrane transporter activity [GO:1901474]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside transmembrane transporter activity [GO:0005337]; nucleoside:sodium symporter activity [GO:0005415]; purine nucleobase transmembrane transporter activity [GO:0005345]; pyrimidine- and adenine-specific:sodium symporter activity [GO:0015389]; symporter activity [GO:0015293]; uridine transmembrane transporter activity [GO:0015213]; azole transmembrane transport [GO:0045117]; cytidine transport [GO:0015861]; nucleobase-containing compound metabolic process [GO:0006139]; nucleoside transmembrane transport [GO:1901642]; nucleoside transport [GO:0015858]; purine nucleobase transmembrane transport [GO:1904823]; pyrimidine nucleobase transport [GO:0015855]; pyrimidine-containing compound transmembrane transport [GO:0072531]; uridine transport [GO:0015862],azole transmembrane transport [GO:0045117]; cytidine transport [GO:0015861]; nucleobase-containing compound metabolic process [GO:0006139]; nucleoside transmembrane transport [GO:1901642]; nucleoside transport [GO:0015858]; purine nucleobase transmembrane transport [GO:1904823]; pyrimidine nucleobase transport [GO:0015855]; pyrimidine-containing compound transmembrane transport [GO:0072531]; uridine transport [GO:0015862],brush border membrane [GO:0031526]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886],azole transmembrane transporter activity [GO:1901474]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside transmembrane transporter activity [GO:0005337]; nucleoside:sodium symporter activity [GO:0005415]; purine nucleobase transmembrane transporter activity [GO:0005345]; pyrimidine- and adenine-specific:sodium symporter activity [GO:0015389]; symporter activity [GO:0015293]; uridine transmembrane transporter activity [GO:0015213],9124315; 14702039; 16572171; 15489334; 10455109; 21998139; 24275569; 30658162; 30847922
GID8,Q9NWU2,reviewed,GID8_HUMAN,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1),GID8 C20orf11 TWA1,Homo sapiens (Human),228,cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; protein homodimerization activity [GO:0042803]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell population proliferation [GO:0008284]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; Wnt signaling pathway [GO:0016055],positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell population proliferation [GO:0008284]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; Wnt signaling pathway [GO:0016055],cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151],protein homodimerization activity [GO:0042803],12559565; 14702039; 11780052; 15489334; 17467196; 21269460; 23186163; 24143168; 28829046; 29911972
ALOX12,P18054,reviewed,LOX12_HUMAN,Polyunsaturated fatty acid lipoxygenase ALOX12 (EC 1.13.11.-) (Arachidonate (12S)-lipoxygenase) (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Arachidonate (15S)-lipoxygenase) (EC 1.13.11.33) (Linoleate (13S)-lipoxygenase) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12),ALOX12 12LO LOG12,Homo sapiens (Human),663,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; arachidonate 12(S)-lipoxygenase activity [GO:0004052]; arachidonate 15-lipoxygenase activity [GO:0050473]; hepoxilin-epoxide hydrolase activity [GO:0047977]; iron ion binding [GO:0005506]; linoleate 13S-lipoxygenase activity [GO:0016165]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; arachidonic acid metabolic process [GO:0019369]; establishment of skin barrier [GO:0061436]; fatty acid oxidation [GO:0019395]; hepoxilin biosynthetic process [GO:0051122]; leukotriene A4 metabolic process [GO:1901751]; linoleic acid metabolic process [GO:0043651]; lipid metabolic process [GO:0006629]; lipid oxidation [GO:0034440]; lipoxin A4 biosynthetic process [GO:2001303]; lipoxin B4 biosynthetic process [GO:2001306]; lipoxygenase pathway [GO:0019372]; negative regulation of muscle cell apoptotic process [GO:0010656]; negative regulation of platelet aggregation [GO:0090331]; superoxide anion generation [GO:0042554]; unsaturated fatty acid metabolic process [GO:0033559]",arachidonic acid metabolic process [GO:0019369]; establishment of skin barrier [GO:0061436]; fatty acid oxidation [GO:0019395]; hepoxilin biosynthetic process [GO:0051122]; leukotriene A4 metabolic process [GO:1901751]; linoleic acid metabolic process [GO:0043651]; lipid metabolic process [GO:0006629]; lipid oxidation [GO:0034440]; lipoxin A4 biosynthetic process [GO:2001303]; lipoxin B4 biosynthetic process [GO:2001306]; lipoxygenase pathway [GO:0019372]; negative regulation of muscle cell apoptotic process [GO:0010656]; negative regulation of platelet aggregation [GO:0090331]; superoxide anion generation [GO:0042554]; unsaturated fatty acid metabolic process [GO:0033559],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383],"arachidonate 12(S)-lipoxygenase activity [GO:0004052]; arachidonate 15-lipoxygenase activity [GO:0050473]; hepoxilin-epoxide hydrolase activity [GO:0047977]; iron ion binding [GO:0005506]; linoleate 13S-lipoxygenase activity [GO:0016165]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]",2244907; 2377602; 2217179; 16625196; 15489334; 1447217; 1570320; 8304420; 1851637; 8250832; 8319693; 8500694; 8912711; 9751607; 16638750; 17493578; 18311922; 18755188; 22237009; 23578768; 22984144; 23504711; 24282679; 25036362; 32404334; 15308583; 17151091; 17460548
FAM89A,Q96GI7,reviewed,FA89A_HUMAN,Protein FAM89A,FAM89A C1orf153,Homo sapiens (Human),184,,,,,16710414; 15489334; 23186163; 24275569
KCNAB1,Q14722,reviewed,KCAB1_HUMAN,Voltage-gated potassium channel subunit beta-1 (EC 1.1.1.-) (K(+) channel subunit beta-1) (Kv-beta-1),KCNAB1 KCNA1B,Homo sapiens (Human),419,cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; juxtaparanode region of axon [GO:0044224]; plasma membrane [GO:0005886]; potassium channel complex [GO:0034705]; voltage-gated potassium channel complex [GO:0008076]; aldo-keto reductase (NADP) activity [GO:0004033]; molecular function inhibitor activity [GO:0140678]; NADPH binding [GO:0070402]; potassium channel regulator activity [GO:0015459]; protein domain specific binding [GO:0019904]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; negative regulation of voltage-gated potassium channel activity [GO:1903817]; potassium ion transport [GO:0006813]; regulation of delayed rectifier potassium channel activity [GO:1902259]; regulation of potassium ion transmembrane transport [GO:1901379],negative regulation of delayed rectifier potassium channel activity [GO:1902260]; negative regulation of voltage-gated potassium channel activity [GO:1903817]; potassium ion transport [GO:0006813]; regulation of delayed rectifier potassium channel activity [GO:1902259]; regulation of potassium ion transmembrane transport [GO:1901379],cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; juxtaparanode region of axon [GO:0044224]; plasma membrane [GO:0005886]; potassium channel complex [GO:0034705]; voltage-gated potassium channel complex [GO:0008076],aldo-keto reductase (NADP) activity [GO:0004033]; molecular function inhibitor activity [GO:0140678]; NADPH binding [GO:0070402]; potassium channel regulator activity [GO:0015459]; protein domain specific binding [GO:0019904]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249],7499366; 7890032; 7603988; 7649300; 8938711; 14702039; 15489334; 7890764; 9763623; 12077175; 12130714; 15361858; 17156368; 17540341; 19713757
OR4K2,Q8NGD2,reviewed,OR4K2_HUMAN,Olfactory receptor 4K2 (Olfactory receptor OR14-15),OR4K2,Homo sapiens (Human),314,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984],,plasma membrane [GO:0005886],G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984],15489334; 14983052
RNF220,Q5VTB9,reviewed,RN220_HUMAN,E3 ubiquitin-protein ligase RNF220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase RNF220),RNF220 C1orf164,Homo sapiens (Human),566,cytoplasm [GO:0005737]; nuclear lamina [GO:0005652]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; beta-catenin binding [GO:0008013]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; dorsal/ventral neural tube patterning [GO:0021904]; noradrenergic neuron development [GO:0003358]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; regulation of transcription regulatory region DNA binding [GO:2000677],dorsal/ventral neural tube patterning [GO:0021904]; noradrenergic neuron development [GO:0003358]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; regulation of transcription regulatory region DNA binding [GO:2000677],cytoplasm [GO:0005737]; nuclear lamina [GO:0005652]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],beta-catenin binding [GO:0008013]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842],14702039; 16710414; 15489334; 18669648; 19413330; 21269460; 25266658; 25218447; 33964137
GSN,P06396,reviewed,GELS_HUMAN,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),GSN,Homo sapiens (Human),782,"actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; blood microparticle [GO:0072562]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; podosome [GO:0002102]; sarcoplasm [GO:0016528]; secretory granule lumen [GO:0034774]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; myosin II binding [GO:0045159]; phosphatidylinositol 3-kinase catalytic subunit binding [GO:0036313]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; actin filament capping [GO:0051693]; actin filament depolymerization [GO:0030042]; actin filament polymerization [GO:0030041]; actin filament reorganization [GO:0090527]; actin filament severing [GO:0051014]; actin nucleation [GO:0045010]; actin polymerization or depolymerization [GO:0008154]; amyloid fibril formation [GO:1990000]; barbed-end actin filament capping [GO:0051016]; cardiac muscle cell contraction [GO:0086003]; cell projection assembly [GO:0030031]; cellular response to type II interferon [GO:0071346]; central nervous system development [GO:0007417]; cilium assembly [GO:0060271]; hepatocyte apoptotic process [GO:0097284]; negative regulation of viral entry into host cell [GO:0046597]; phagocytosis, engulfment [GO:0006911]; positive regulation of actin nucleation [GO:0051127]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein destabilization [GO:0031648]; regulation of establishment of T cell polarity [GO:1903903]; regulation of plasma membrane raft polarization [GO:1903906]; regulation of podosome assembly [GO:0071801]; regulation of receptor clustering [GO:1903909]; relaxation of cardiac muscle [GO:0055119]; renal protein absorption [GO:0097017]; response to muscle stretch [GO:0035994]; sequestering of actin monomers [GO:0042989]; striated muscle atrophy [GO:0014891]","actin filament capping [GO:0051693]; actin filament depolymerization [GO:0030042]; actin filament polymerization [GO:0030041]; actin filament reorganization [GO:0090527]; actin filament severing [GO:0051014]; actin nucleation [GO:0045010]; actin polymerization or depolymerization [GO:0008154]; amyloid fibril formation [GO:1990000]; barbed-end actin filament capping [GO:0051016]; cardiac muscle cell contraction [GO:0086003]; cell projection assembly [GO:0030031]; cellular response to type II interferon [GO:0071346]; central nervous system development [GO:0007417]; cilium assembly [GO:0060271]; hepatocyte apoptotic process [GO:0097284]; negative regulation of viral entry into host cell [GO:0046597]; phagocytosis, engulfment [GO:0006911]; positive regulation of actin nucleation [GO:0051127]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein destabilization [GO:0031648]; regulation of establishment of T cell polarity [GO:1903903]; regulation of plasma membrane raft polarization [GO:1903906]; regulation of podosome assembly [GO:0071801]; regulation of receptor clustering [GO:1903909]; relaxation of cardiac muscle [GO:0055119]; renal protein absorption [GO:0097017]; response to muscle stretch [GO:0035994]; sequestering of actin monomers [GO:0042989]; striated muscle atrophy [GO:0014891]",actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; blood microparticle [GO:0072562]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; podosome [GO:0002102]; sarcoplasm [GO:0016528]; secretory granule lumen [GO:0034774],"actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; myosin II binding [GO:0045159]; phosphatidylinositol 3-kinase catalytic subunit binding [GO:0036313]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]",3020431; 14702039; 15164053; 15489334; 12665801; 6092370; 2157434; 2153578; 8703941; 9003812; 10210201; 20393563; 21269460; 23186163; 24275569; 8395021; 8599675; 12460571; 16466744; 19666512; 23009842; 2176481; 1338910; 16959974
C2orf92,A0A1B0GVN3,reviewed,CB092_HUMAN,Uncharacterized protein C2orf92 (Long intergenic non-protein coding RNA 1125),C2orf92 LINC01125,Homo sapiens (Human),265,membrane [GO:0016020],,membrane [GO:0016020],,15815621
IRF6,O14896,reviewed,IRF6_HUMAN,Interferon regulatory factor 6 (IRF-6),IRF6,Homo sapiens (Human),467,"cell junction [GO:0030054]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; cell development [GO:0048468]; cranial skeletal system development [GO:1904888]; immune system process [GO:0002376]; keratinocyte differentiation [GO:0030216]; keratinocyte proliferation [GO:0043616]; limb development [GO:0060173]; mammary gland epithelial cell differentiation [GO:0060644]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of stem cell proliferation [GO:2000647]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; stem cell proliferation [GO:0072089]",cell development [GO:0048468]; cranial skeletal system development [GO:1904888]; immune system process [GO:0002376]; keratinocyte differentiation [GO:0030216]; keratinocyte proliferation [GO:0043616]; limb development [GO:0060173]; mammary gland epithelial cell differentiation [GO:0060644]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of stem cell proliferation [GO:2000647]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; stem cell proliferation [GO:0072089],cell junction [GO:0030054]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]",14702039; 16710414; 15489334; 16049006; 18212048; 21269460; 12219090; 12920575; 14640121; 14618417; 15300989; 15317890; 17122170; 18478600; 19036739; 20803643; 21082654; 25691407
TRAV26-1,A0A087WT03,reviewed,TVAZ1_HUMAN,T cell receptor alpha variable 26-1,TRAV26-1,Homo sapiens (Human),109,T cell receptor complex [GO:0042101]; adaptive immune response [GO:0002250]; response to bacterium [GO:0009617],adaptive immune response [GO:0002250]; response to bacterium [GO:0009617],T cell receptor complex [GO:0042101],,12508121; 15040585; 20452950; 23524462; 24600447; 25493333
TUBB1,Q9H4B7,reviewed,TBB1_HUMAN,Tubulin beta-1 chain,TUBB1,Homo sapiens (Human),451,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; mitotic cell cycle [GO:0000278]; platelet aggregation [GO:0070527]; platelet formation [GO:0030220]; spindle assembly [GO:0051225]; thyroid gland development [GO:0030878]; thyroid hormone transport [GO:0070327],microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; mitotic cell cycle [GO:0000278]; platelet aggregation [GO:0070527]; platelet formation [GO:0030220]; spindle assembly [GO:0051225]; thyroid gland development [GO:0030878]; thyroid hormone transport [GO:0070327],cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200],11780052; 15489334; 12665801; 16371510; 18347012; 19524510; 20191564; 26875866; 15956286; 18849486
PHF21B,Q96EK2,reviewed,PF21B_HUMAN,PHD finger protein 21B,PHF21B KIAA1661,Homo sapiens (Human),531,metal ion binding [GO:0046872],,,metal ion binding [GO:0046872],15461802; 14702039; 10591208; 15489334
GALNTL5,Q7Z4T8,reviewed,GLTL5_HUMAN,Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5 (Polypeptide GalNAc transferase 15) (GalNAc-T15) (pp-GaNTase 15) (Protein-UDP acetylgalactosaminyltransferase 15) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 15),GALNTL5 GALNT15,Homo sapiens (Human),443,Golgi apparatus [GO:0005794]; late endosome membrane [GO:0031902]; metal ion binding [GO:0046872]; spermatid development [GO:0007286],spermatid development [GO:0007286],Golgi apparatus [GO:0005794]; late endosome membrane [GO:0031902],metal ion binding [GO:0046872],12853948; 15489334; 24398516; 28206990
