Zero Clades,One Clades,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",[],XPA,P23025,reviewed,XPA_HUMAN,DNA repair protein complementing XP-A cells (Xeroderma pigmentosum group A-complementing protein),XPA XPAC,Homo sapiens (Human),273,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (A),E,Rec,TSG,"Mis, N, F, S",,,,XPA,"xeroderma pigmentosum, complementation group A",7507,9:97674909-97697357,1,,22.33
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",[],MUC16,Q8WXI7,reviewed,MUC16_HUMAN,"Mucin-16, MUC-16 (Ovarian cancer-related tumor marker CA125, CA-125) (Ovarian carcinoma antigen CA125)",MUC16 CA125,Homo sapiens (Human),14507,yes,,"HNSCC, melanoma",,,E,,oncogene,Mis,,,,MUC16,"mucin 16, cell surface associated",94025,19:8848844-8981342,2,,13.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",APOBEC3B,Q9UH17,reviewed,ABC3B_HUMAN,"DNA dC->dU-editing enzyme APOBEC-3B, A3B, EC 3.5.4.38 (Phorbolin-1-related protein) (Phorbolin-2/3)",APOBEC3B,Homo sapiens (Human),382,,yes,,breast cancer,,E,Rec,"oncogene, TSG",D,,,,APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582,22:38982409-38992784,1,Yes,13.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",TNFRSF14,Q92956,reviewed,TNR14_HUMAN,"Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A, Herpesvirus entry mediator A, HveA) (Tumor necrosis factor receptor-like 2, TR2) (CD antigen CD270)",TNFRSF14 HVEA HVEM UNQ329/PRO509,Homo sapiens (Human),283,yes,,follicular lymphoma,,,L,Rec,TSG,"Mis, N, F",,,,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",8764,1:2556366-2563829,1,,36.32
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",FAS,P25445,reviewed,TNR6_HUMAN,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),FAS APT1 FAS1 TNFRSF6,Homo sapiens (Human),335,yes,,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,TSG,Mis,,yes  ,Autoimmune lymphoproliferative syndrome,FAS,Fas cell surface death receptor,355,10:88990657-89015785,1,Yes,23.31
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",VHL,P40337,reviewed,VHL_HUMAN,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),VHL,Homo sapiens (Human),213,yes,yes,"renal, haemangioma, pheochromocytoma","renal, haemangioma, pheochromocytoma",Von Hippel-Lindau syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,VHL,von Hippel-Lindau syndrome gene,7428,3:10141008-10152220,1,Yes,25.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],NUTM2D,Q5VT03,reviewed,NTM2D_HUMAN,NUT family member 2D,NUTM2D FAM22D,Homo sapiens (Human),806,yes,,endometrial stromal sarcoma,,,M,Dom,fusion,T,YWHAE,,,NUTM2D,NUT family member 2A,728130,10:87357668-87367195,1,,23.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],TCL1A,P56279,reviewed,TCL1A_HUMAN,"T-cell leukemia/lymphoma protein 1A (Oncogene TCL-1, Oncogene TCL1) (Protein p14 TCL1)",TCL1A TCL1,Homo sapiens (Human),114,yes,,T-CLL,,,L,Dom,"oncogene, fusion",T,TRA,,,TCL1A,T-cell leukemia/lymphoma 1A,8115,14:95709968-95714196,1,Yes,32.13
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],MDS2,Q8NDY4,reviewed,MDS2_HUMAN,Myelodysplastic syndrome 2 translocation-associated protein,MDS2,Homo sapiens (Human),140,yes,,MDS,,,L,Dom,fusion,T,ETV6,,,MDS2,myelodysplastic syndrome 2,,1:23581495-23640568,2,,36.12
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],NUTM2B,A6NNL0,reviewed,NTM2B_HUMAN,NUT family member 2B,NUTM2B FAM22B,Homo sapiens (Human),878,yes,,endometrial stromal sarcoma,,,M,Dom,fusion,T,YWHAE,,,NUTM2B,NUT family member 2B,729262,10:79703227-79712757,1,,22.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],CRLF2,Q9HC73,reviewed,CRLF2_HUMAN,"Cytokine receptor-like factor 2 (Cytokine receptor-like 2) (IL-XR) (Thymic stromal lymphopoietin protein receptor, TSLP receptor)",CRLF2 CRL2 ILXR TSLPR,Homo sapiens (Human),371,yes,,"B-ALL, Downs associated ALL",,,L,Dom,"oncogene, fusion","Mis, T","P2RY8, IGH",,,CRLF2,cytokine receptor-like factor 2,64109,X:1190490-1212750,1,Yes,22.33
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],HMGN2P46,Q86SG4,reviewed,DPCA2_HUMAN,"Putative Dresden prostate carcinoma protein 2, D-PCa-2 (High mobility group nucleosome-binding domain-containing protein 2 pseudogene 46)",HMGN2P46 C15orf21,Homo sapiens (Human),172,yes,,prostate,,,E,Dom,fusion,T,ETV1,,,HMGN2P46,high mobility group nucleosomal binding domain 2 pseudogene 46,,15:45511136-45556730,2,,21.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],MAF,O75444,reviewed,MAF_HUMAN,Transcription factor Maf (Proto-oncogene c-Maf) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog),MAF,Homo sapiens (Human),373,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog,4094,16:79593838-79600714,1,,23.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],USP6,P35125,reviewed,UBP6_HUMAN,"Ubiquitin carboxyl-terminal hydrolase 6, EC 3.4.19.12 (Deubiquitinating enzyme 6) (Proto-oncogene TRE-2) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6)",USP6 HRP1 TRE2,Homo sapiens (Human),1406,yes,,aneurysmal bone cyst,,,M,Dom,"oncogene, fusion",T,"COL1A1, CDH11, CNBP, OMD, THRAP3",,,USP6,ubiquitin specific peptidase 6 (Tre-2 oncogene),9098,17:5116438-5174991,1,,13.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],FAM47C,Q5HY64,reviewed,FA47C_HUMAN,Putative protein FAM47C,FAM47C,Homo sapiens (Human),1035,yes,,"melanoma, clear cell sarcoma of soft parts, SCLC",,,"E, M",,,Mis,,,,FAM47C,family with sequence similarity 47 member C,442444,X:37008397-37011666,2,,21.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],MUC4,Q99102,reviewed,MUC4_HUMAN,"Mucin-4, MUC-4 (Ascites sialoglycoprotein, ASGP) (Pancreatic adenocarcinoma mucin) (Testis mucin) (Tracheobronchial mucin) [Cleaved into: Mucin-4 alpha chain (Ascites sialoglycoprotein 1, ASGP-1); Mucin-4 beta chain (Ascites sialoglycoprotein 2, ASGP-2) ]",MUC4,Homo sapiens (Human),5412,yes,,HNSCC,,,E,,oncogene,"Mis, O",,,,MUC4,"mucin 4, cell surface associated",4585,3:195746765-195812277,2,,29
"[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",COX6C,P09669,reviewed,COX6C_HUMAN,Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc),COX6C,Homo sapiens (Human),75,yes,,uterine leiomyoma,,,M,Dom,fusion,T,HMGA2,,,COX6C,cytochrome c oxidase subunit VIc,1345,8:99877866-99894062,2,,22.2
"[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],MUC1,P15941,reviewed,MUC1_HUMAN,"Mucin-1, MUC-1 (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3, CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6, KL-6) (PEMT) (Peanut-reactive urinary mucin, PUM) (Polymorphic epithelial mucin, PEM) (Tumor-associated epithelial membrane antigen, EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha, MUC1-NT, MUC1-alpha; Mucin-1 subunit beta, MUC1-beta (MUC1-CT) ]",MUC1 PUM,Homo sapiens (Human),1255,yes,,B-NHL,,,L,Dom,fusion,T,IGH,,,MUC1,"mucin 1, transmembrane",4582,1:155185826-155192915,1,,22
"[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],ZNF479,Q96JC4,reviewed,ZN479_HUMAN,"Zinc finger protein 479 (Zinc finger protein Kr19, HKr19)",ZNF479,Homo sapiens (Human),524,yes,,"lung cancer, bladder carcinoma, prostate carcinoma",,,E,,,Mis,,,,ZNF479,zinc finger protein 479,90827,7:57119614-57139864,2,,11.2
"[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",[],NFKBIE,O00221,reviewed,IKBE_HUMAN,"NF-kappa-B inhibitor epsilon, NF-kappa-BIE (I-kappa-B-epsilon, IkB-E, IkB-epsilon, IkappaBepsilon)",NFKBIE IKBE,Homo sapiens (Human),500,yes,,"CLL, desmoplastic melanoma",,,"L, E",Dom/Rec,TSG,"F, Mis",,,,NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",4794,6:44258166-44265788,1,Yes,21.1
"[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],DDIT3,P0DPQ6,reviewed,DT3UO_HUMAN,"DDIT3 upstream open reading frame protein (Alternative DDIT3 protein, AltDDIT3)",DDIT3,Homo sapiens (Human),34,yes,,liposarcoma,,,M,Dom,"oncogene, fusion",T,"FUS, EWSR1",,,DDIT3,DNA-damage-inducible transcript 3,1649,12:57516589-57520517,1,Yes,13.3
