From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	PubMed ID
FAM53C	Q9NYF3	reviewed	FA53C_HUMAN	Protein FAM53C	FAM53C C5orf6	Homo sapiens (Human)	392	protein import into nucleus [GO:0006606]	nucleus [GO:0005634]; protein import into nucleus [GO:0006606]	GO:0005634; GO:0006606	11087669; 14702039; 15489334; 18220336; 18669648; 19690332; 20068231; 22223895; 23186163; 24275569
FAM53C	D6RE00	unreviewed	D6RE00_HUMAN	Protein FAM53C	FAM53C	Homo sapiens (Human)	114				15372022; 22223895
FAM53C	D6RHW3	unreviewed	D6RHW3_HUMAN	Protein FAM53C	FAM53C	Homo sapiens (Human)	165				15372022; 18669648; 23186163; 24275569
ADAR	P55265	reviewed	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226	adenosine to inosine editing [GO:0006382]; base conversion or substitution editing [GO:0016553]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; definitive hemopoiesis [GO:0060216]; erythrocyte differentiation [GO:0030218]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell homeostasis [GO:0061484]; hepatocyte apoptotic process [GO:0097284]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of post-transcriptional gene silencing by RNA [GO:1900369]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; osteoblast differentiation [GO:0001649]; positive regulation of viral genome replication [GO:0045070]; pre-miRNA processing [GO:0031054]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]; response to interferon-alpha [GO:0035455]; response to virus [GO:0009615]; RISC complex assembly [GO:0070922]; RNA processing [GO:0006396]; somatic diversification of immune receptors via somatic mutation [GO:0002566]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; supraspliceosomal complex [GO:0044530]; DNA binding [GO:0003677]; double-stranded RNA adenosine deaminase activity [GO:0003726]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; tRNA-specific adenosine deaminase activity [GO:0008251]; adenosine to inosine editing [GO:0006382]; base conversion or substitution editing [GO:0016553]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; definitive hemopoiesis [GO:0060216]; erythrocyte differentiation [GO:0030218]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell homeostasis [GO:0061484]; hepatocyte apoptotic process [GO:0097284]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of post-transcriptional gene silencing by RNA [GO:1900369]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; osteoblast differentiation [GO:0001649]; positive regulation of viral genome replication [GO:0045070]; pre-miRNA processing [GO:0031054]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]; response to interferon-alpha [GO:0035455]; response to virus [GO:0009615]; RISC complex assembly [GO:0070922]; RNA processing [GO:0006396]; somatic diversification of immune receptors via somatic mutation [GO:0002566]	GO:0001649; GO:0002244; GO:0002566; GO:0003677; GO:0003723; GO:0003725; GO:0003726; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006382; GO:0006396; GO:0006397; GO:0006606; GO:0006611; GO:0008251; GO:0009615; GO:0016020; GO:0016553; GO:0030218; GO:0031054; GO:0035455; GO:0044387; GO:0044530; GO:0045070; GO:0045087; GO:0046872; GO:0051607; GO:0060216; GO:0060339; GO:0061484; GO:0070922; GO:0097284; GO:0098586; GO:1900369; GO:1903944	7972084; 7565688; 9020165; 17974005; 16710414; 15489334; 10200312; 12618436; 12665561; 15556947; 15858013; 16120648; 16055709; 16475990; 16964243; 17924679; 17079286; 18178553; 18220336; 18669648; 18362360; 19413330; 19710021; 19605474; 19124606; 19651874; 19690332; 20192758; 19908260; 20068231; 21269460; 22022963; 21289159; 21182352; 21490091; 21406692; 21211811; 22988838; 21769729; 22278222; 22113393; 23186163; 24275569; 24129315; 25114211; 25755297; 28112733; 10364558; 10535945; 16237447; 24753571; 12916015; 15146470; 15659327; 16959974; 23001123
ADAR	A0A3B3IRQ9	unreviewed	A0A3B3IRQ9_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	1158	defense response to virus [GO:0051607]; RNA processing [GO:0006396]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; RNA processing [GO:0006396]	GO:0003723; GO:0003726; GO:0005654; GO:0005730; GO:0006396; GO:0051607	16964243; 16710414; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 25114211; 25755297; 28112733
ADAR	A0A3B3ISU1	unreviewed	A0A3B3ISU1_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	1046	defense response to virus [GO:0051607]; RNA processing [GO:0006396]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; RNA processing [GO:0006396]	GO:0003723; GO:0003726; GO:0006396; GO:0051607	16710414; 21269460
ADAR	A0A3B3ISX1	unreviewed	A0A3B3ISX1_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	788	defense response to virus [GO:0051607]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]	GO:0003723; GO:0003726; GO:0051607	16964243; 16710414; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 25114211; 25755297; 28112733
ADAR	A0A3B3ITG9	unreviewed	A0A3B3ITG9_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	350	defense response to virus [GO:0051607]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]	GO:0003723; GO:0003726; GO:0051607	16964243; 16710414; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 25114211; 25755297; 28112733
ADAR	A0A7P0TA14	unreviewed	A0A7P0TA14_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	263	defense response to virus [GO:0051607]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]	GO:0003723; GO:0003726; GO:0051607	16710414
ADAR	A0A7P0Z4F9	unreviewed	A0A7P0Z4F9_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	912	defense response to virus [GO:0051607]; RNA processing [GO:0006396]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; RNA processing [GO:0006396]	GO:0003723; GO:0003726; GO:0006396; GO:0051607	16710414
ADAR	A0A7P0Z4K3	unreviewed	A0A7P0Z4K3_HUMAN	Double-stranded RNA-specific adenosine deaminase	ADAR	Homo sapiens (Human)	1165	defense response to virus [GO:0051607]; RNA processing [GO:0006396]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; RNA processing [GO:0006396]	GO:0003723; GO:0003726; GO:0006396; GO:0051607	16710414
ADAR	A2IBT1	unreviewed	A2IBT1_HUMAN	Double-stranded RNA-specific adenosine deaminase (Truncated adenosine deaminase acting on RNA 1-A)	ADAR	Homo sapiens (Human)	87				16710414; 17698644
ADAR	A2IBT2	unreviewed	A2IBT2_HUMAN	Adenosine deaminase acting on RNA 1-A	ADAR	Homo sapiens (Human)	146				17698644
ADAR	D3DV75	unreviewed	D3DV75_HUMAN	Adenosine deaminase, RNA-specific, isoform CRA_b	ADAR hCG_18813	Homo sapiens (Human)	886	defense response to virus [GO:0051607]; RNA processing [GO:0006396]	double-stranded RNA adenosine deaminase activity [GO:0003726]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; RNA processing [GO:0006396]	GO:0003723; GO:0003726; GO:0006396; GO:0051607	11181995
KRT19	P08727	reviewed	K1C19_HUMAN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Homo sapiens (Human)	400	cell differentiation involved in embryonic placenta development [GO:0060706]; epithelial cell differentiation [GO:0030855]; intermediate filament organization [GO:0045109]; Notch signaling pathway [GO:0007219]; response to estrogen [GO:0043627]; sarcomere organization [GO:0045214]	apicolateral plasma membrane [GO:0016327]; cell periphery [GO:0071944]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; terminal web [GO:1990357]; Z disc [GO:0030018]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; cell differentiation involved in embryonic placenta development [GO:0060706]; epithelial cell differentiation [GO:0030855]; intermediate filament organization [GO:0045109]; Notch signaling pathway [GO:0007219]; response to estrogen [GO:0043627]; sarcomere organization [GO:0045214]	GO:0005200; GO:0005829; GO:0005856; GO:0005882; GO:0005886; GO:0007219; GO:0008307; GO:0016327; GO:0030018; GO:0030855; GO:0042383; GO:0043034; GO:0043627; GO:0045109; GO:0045214; GO:0060706; GO:0070062; GO:0071944; GO:1990357	2447559; 2468493; 2448790; 2469734; 10623642; 14702039; 16625196; 15489334; 11682035; 1286667; 10212274; 10809736; 15846844; 16000376; 21049038; 22814378; 23186163; 24129315; 21269460
KRT19	C9JM50	unreviewed	C9JM50_HUMAN	Keratin, type I cytoskeletal 19	KRT19	Homo sapiens (Human)	196		intermediate filament [GO:0005882]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005882	16625196; 21269460; 23186163; 24129315
KRT19	K7EMS3	unreviewed	K7EMS3_HUMAN	Keratin, type I cytoskeletal 19	KRT19	Homo sapiens (Human)	181		intermediate filament [GO:0005882]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005882	16625196; 21269460; 22814378; 23186163
TRNP1	Q6NT89	reviewed	TRNP1_HUMAN	TMF-regulated nuclear protein 1	TRNP1 C1orf225 TRNP	Homo sapiens (Human)	227	cell cycle [GO:0007049]; cerebellar cortex morphogenesis [GO:0021696]; neural precursor cell proliferation [GO:0061351]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]	euchromatin [GO:0000791]; nucleus [GO:0005634]; DNA binding [GO:0003677]; cell cycle [GO:0007049]; cerebellar cortex morphogenesis [GO:0021696]; neural precursor cell proliferation [GO:0061351]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]	GO:0000791; GO:0003677; GO:0005634; GO:0007049; GO:0021696; GO:0042127; GO:0051726; GO:0061351	16710414; 15489334; 23622239
TRNP1	A0A8E5N8C3	unreviewed	A0A8E5N8C3_HUMAN	TMF-regulated nuclear protein 1	TRNP1	Homo sapiens (Human)	227	regulation of cell population proliferation [GO:0042127]	nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of cell population proliferation [GO:0042127]	GO:0003677; GO:0005634; GO:0042127	
TRNP1	H0YES3	unreviewed	H0YES3_HUMAN	TMF-regulated nuclear protein 1	TRNP1	Homo sapiens (Human)	50	regulation of cell population proliferation [GO:0042127]	nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of cell population proliferation [GO:0042127]	GO:0003677; GO:0005634; GO:0042127	16710414
LRCOL1	A6NCL2	reviewed	LRCL1_HUMAN	Leucine-rich colipase-like protein 1	LRCOL1	Homo sapiens (Human)	159	digestion [GO:0007586]; lipid catabolic process [GO:0016042]; response to food [GO:0032094]	extracellular region [GO:0005576]; enzyme activator activity [GO:0008047]; digestion [GO:0007586]; lipid catabolic process [GO:0016042]; response to food [GO:0032094]	GO:0005576; GO:0007586; GO:0008047; GO:0016042; GO:0032094	16541075
LRCOL1	A0A087WT69	unreviewed	A0A087WT69_HUMAN	Leucine-rich colipase-like protein 1	LRCOL1	Homo sapiens (Human)	46				16541075
LRCOL1	A0A087WYD7	unreviewed	A0A087WYD7_HUMAN	Leucine-rich colipase-like protein 1	LRCOL1	Homo sapiens (Human)	61				16541075
LRCOL1	A0A087WZ94	unreviewed	A0A087WZ94_HUMAN	Leucine-rich colipase-like protein 1	LRCOL1	Homo sapiens (Human)	139	digestion [GO:0007586]; lipid catabolic process [GO:0016042]	extracellular region [GO:0005576]; enzyme activator activity [GO:0008047]; digestion [GO:0007586]; lipid catabolic process [GO:0016042]	GO:0005576; GO:0007586; GO:0008047; GO:0016042	16541075
KIT	P10721	reviewed	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR	Homo sapiens (Human)	976	actin cytoskeleton reorganization [GO:0031532]; B cell differentiation [GO:0030183]; cell chemotaxis [GO:0060326]; cellular response to thyroid hormone stimulus [GO:0097067]; cytokine-mediated signaling pathway [GO:0019221]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; digestive tract development [GO:0048565]; ectopic germ cell programmed cell death [GO:0035234]; embryonic hemopoiesis [GO:0035162]; epithelial cell proliferation [GO:0050673]; erythrocyte differentiation [GO:0030218]; erythropoietin-mediated signaling pathway [GO:0038162]; Fc receptor signaling pathway [GO:0038093]; germ cell migration [GO:0008354]; glycosphingolipid metabolic process [GO:0006687]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell migration [GO:0035701]; hemopoiesis [GO:0030097]; immature B cell differentiation [GO:0002327]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; Kit signaling pathway [GO:0038109]; lamellipodium assembly [GO:0030032]; lymphoid progenitor cell differentiation [GO:0002320]; male gonad development [GO:0008584]; mast cell chemotaxis [GO:0002551]; mast cell degranulation [GO:0043303]; mast cell differentiation [GO:0060374]; mast cell proliferation [GO:0070662]; megakaryocyte development [GO:0035855]; melanocyte adhesion [GO:0097326]; melanocyte differentiation [GO:0030318]; melanocyte migration [GO:0097324]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of developmental process [GO:0051093]; negative regulation of programmed cell death [GO:0043069]; negative regulation of reproductive process [GO:2000242]; ovarian follicle development [GO:0001541]; pigmentation [GO:0043473]; positive regulation of cell migration [GO:0030335]; positive regulation of colon smooth muscle contraction [GO:1904343]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of kinase activity [GO:0033674]; positive regulation of long-term neuronal synaptic plasticity [GO:0048170]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mast cell cytokine production [GO:0032765]; positive regulation of mast cell proliferation [GO:0070668]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase C activity [GO:0010863]; positive regulation of pseudopodium assembly [GO:0031274]; positive regulation of pyloric antrum smooth muscle contraction [GO:0120072]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of small intestine smooth muscle contraction [GO:1904349]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular associated smooth muscle cell differentiation [GO:1905065]; protein autophosphorylation [GO:0046777]; regulation of bile acid metabolic process [GO:1904251]; regulation of cell population proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; response to cadmium ion [GO:0046686]; signal transduction [GO:0007165]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; stem cell differentiation [GO:0048863]; stem cell population maintenance [GO:0019827]; T cell differentiation [GO:0030217]; tongue development [GO:0043586]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; visual learning [GO:0008542]	acrosomal vesicle [GO:0001669]; cell-cell junction [GO:0005911]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; fibrillar center [GO:0001650]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; stem cell factor receptor activity [GO:0005020]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; actin cytoskeleton reorganization [GO:0031532]; B cell differentiation [GO:0030183]; cell chemotaxis [GO:0060326]; cellular response to thyroid hormone stimulus [GO:0097067]; cytokine-mediated signaling pathway [GO:0019221]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; digestive tract development [GO:0048565]; ectopic germ cell programmed cell death [GO:0035234]; embryonic hemopoiesis [GO:0035162]; epithelial cell proliferation [GO:0050673]; erythrocyte differentiation [GO:0030218]; erythropoietin-mediated signaling pathway [GO:0038162]; Fc receptor signaling pathway [GO:0038093]; germ cell migration [GO:0008354]; glycosphingolipid metabolic process [GO:0006687]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell migration [GO:0035701]; hemopoiesis [GO:0030097]; immature B cell differentiation [GO:0002327]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; Kit signaling pathway [GO:0038109]; lamellipodium assembly [GO:0030032]; lymphoid progenitor cell differentiation [GO:0002320]; male gonad development [GO:0008584]; mast cell chemotaxis [GO:0002551]; mast cell degranulation [GO:0043303]; mast cell differentiation [GO:0060374]; mast cell proliferation [GO:0070662]; megakaryocyte development [GO:0035855]; melanocyte adhesion [GO:0097326]; melanocyte differentiation [GO:0030318]; melanocyte migration [GO:0097324]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of developmental process [GO:0051093]; negative regulation of programmed cell death [GO:0043069]; negative regulation of reproductive process [GO:2000242]; ovarian follicle development [GO:0001541]; pigmentation [GO:0043473]; positive regulation of cell migration [GO:0030335]; positive regulation of colon smooth muscle contraction [GO:1904343]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of kinase activity [GO:0033674]; positive regulation of long-term neuronal synaptic plasticity [GO:0048170]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mast cell cytokine production [GO:0032765]; positive regulation of mast cell proliferation [GO:0070668]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase C activity [GO:0010863]; positive regulation of pseudopodium assembly [GO:0031274]; positive regulation of pyloric antrum smooth muscle contraction [GO:0120072]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of small intestine smooth muscle contraction [GO:1904349]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular associated smooth muscle cell differentiation [GO:1905065]; protein autophosphorylation [GO:0046777]; regulation of bile acid metabolic process [GO:1904251]; regulation of cell population proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; response to cadmium ion [GO:0046686]; signal transduction [GO:0007165]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; stem cell differentiation [GO:0048863]; stem cell population maintenance [GO:0019827]; T cell differentiation [GO:0030217]; tongue development [GO:0043586]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; visual learning [GO:0008542]	GO:0001541; GO:0001650; GO:0001669; GO:0002020; GO:0002244; GO:0002318; GO:0002320; GO:0002327; GO:0002551; GO:0002732; GO:0004713; GO:0004714; GO:0005020; GO:0005524; GO:0005615; GO:0005886; GO:0005911; GO:0006687; GO:0006954; GO:0007165; GO:0007169; GO:0007283; GO:0007286; GO:0008354; GO:0008360; GO:0008542; GO:0008584; GO:0009897; GO:0009898; GO:0010863; GO:0014068; GO:0019221; GO:0019827; GO:0019955; GO:0030032; GO:0030097; GO:0030183; GO:0030217; GO:0030218; GO:0030318; GO:0030335; GO:0031274; GO:0031532; GO:0032765; GO:0033674; GO:0035019; GO:0035162; GO:0035234; GO:0035556; GO:0035701; GO:0035855; GO:0038093; GO:0038109; GO:0038162; GO:0042127; GO:0042169; GO:0042531; GO:0042803; GO:0043069; GO:0043235; GO:0043303; GO:0043406; GO:0043410; GO:0043473; GO:0043552; GO:0043586; GO:0045747; GO:0046427; GO:0046686; GO:0046777; GO:0046872; GO:0048103; GO:0048170; GO:0048565; GO:0048863; GO:0050673; GO:0050910; GO:0051091; GO:0051093; GO:0060326; GO:0060374; GO:0070662; GO:0070668; GO:0097067; GO:0097324; GO:0097326; GO:0120072; GO:1904251; GO:1904343; GO:1904349; GO:1905065; GO:2000242	2448137; 1279499; 7505199; 9027509; 15039213; 20658618; 14702039; 15815621; 15489334; 18593464; 7506248; 7520444; 7539802; 9038210; 9341198; 9528781; 10377264; 10397721; 11018522; 11825908; 12444928; 12878163; 12511554; 16335952; 17595334; 17904548; 19265199; 19369195; 20601678; 20147452; 21640708; 21135090; 15526160; 16129412; 15625120; 18381929; 21057534; 12824176; 15123710; 17662946; 19164557; 21030588; 1376329; 1370874; 1717985; 7691885; 7687267; 8680409; 9029028; 9450866; 9657776; 9699740; 9697690; 9438854; 10362788; 9990072; 11074500; 11505412; 15173254; 15824741; 16175573; 17344846; 19865100; 21689725; 24289326
KIT	A0A0U2N547	unreviewed	A0A0U2N547_HUMAN	Mast/stem cell growth factor receptor (EC 2.7.10.1)	KIT	Homo sapiens (Human)	971	Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	GO:0004714; GO:0005524; GO:0005886; GO:0019955; GO:0031401; GO:0033674; GO:0038093; GO:0038109; GO:0042127; GO:0046777; GO:0046872; GO:0048584	15815621
KIT	A0A8I5KPX7	unreviewed	A0A8I5KPX7_HUMAN	Mast/stem cell growth factor receptor Kit (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit)	KIT	Homo sapiens (Human)	931	Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	membrane [GO:0016020]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	GO:0004714; GO:0005524; GO:0016020; GO:0019955; GO:0031401; GO:0033674; GO:0038093; GO:0038109; GO:0042127; GO:0046777; GO:0046872; GO:0048584	15815621
KIT	A0A8I5KQZ6	unreviewed	A0A8I5KQZ6_HUMAN	Mast/stem cell growth factor receptor (EC 2.7.10.1)	KIT	Homo sapiens (Human)	973	Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	GO:0004714; GO:0005524; GO:0005886; GO:0019955; GO:0031401; GO:0033674; GO:0038093; GO:0038109; GO:0042127; GO:0046777; GO:0046872; GO:0048584	15815621
KIT	A0A8I5KR87	unreviewed	A0A8I5KR87_HUMAN	Mast/stem cell growth factor receptor Kit	KIT	Homo sapiens (Human)	413				15815621
KIT	A0A8I5KRE7	unreviewed	A0A8I5KRE7_HUMAN	Mast/stem cell growth factor receptor Kit (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit)	KIT	Homo sapiens (Human)	806	Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	GO:0004714; GO:0005524; GO:0005886; GO:0019955; GO:0031401; GO:0033674; GO:0038093; GO:0038109; GO:0042127; GO:0046777; GO:0046872; GO:0048584	15815621
KIT	A0A8I5KS03	unreviewed	A0A8I5KS03_HUMAN	Mast/stem cell growth factor receptor (EC 2.7.10.1)	KIT	Homo sapiens (Human)	977	Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein modification process [GO:0031401]; positive regulation of response to stimulus [GO:0048584]; protein autophosphorylation [GO:0046777]; regulation of cell population proliferation [GO:0042127]	GO:0004714; GO:0005524; GO:0005886; GO:0019955; GO:0031401; GO:0033674; GO:0038093; GO:0038109; GO:0042127; GO:0046777; GO:0046872; GO:0048584	15815621
