From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	PubMed ID
MYC	P01106	reviewed	MYC_HUMAN	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	439	chromatin [GO:0000785]; Myc-Max complex [GO:0071943]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]; core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator binding [GO:0001221]; transcription regulator activator activity [GO:0140537]; branching involved in ureteric bud morphogenesis [GO:0001658]; cellular iron ion homeostasis [GO:0006879]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; energy reserve metabolic process [GO:0006112]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast apoptotic process [GO:0044346]; G1/S transition of mitotic cell cycle [GO:0000082]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell division [GO:0051782]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of monocyte differentiation [GO:0045656]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA methylation [GO:1905643]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of metanephric cap mesenchymal cell proliferation [GO:0090096]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-DNA complex disassembly [GO:0032986]; regulation of cell cycle process [GO:0010564]; regulation of gene expression [GO:0010468]; regulation of somatic stem cell population maintenance [GO:1904672]; regulation of telomere maintenance [GO:0032204]; regulation of transcription by RNA polymerase II [GO:0006357]; response to gamma radiation [GO:0010332]; response to growth factor [GO:0070848]; response to xenobiotic stimulus [GO:0009410]	branching involved in ureteric bud morphogenesis [GO:0001658]; cellular iron ion homeostasis [GO:0006879]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; energy reserve metabolic process [GO:0006112]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast apoptotic process [GO:0044346]; G1/S transition of mitotic cell cycle [GO:0000082]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell division [GO:0051782]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of monocyte differentiation [GO:0045656]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA methylation [GO:1905643]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of metanephric cap mesenchymal cell proliferation [GO:0090096]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-DNA complex disassembly [GO:0032986]; regulation of cell cycle process [GO:0010564]; regulation of gene expression [GO:0010468]; regulation of somatic stem cell population maintenance [GO:1904672]; regulation of telomere maintenance [GO:0032204]; regulation of transcription by RNA polymerase II [GO:0006357]; response to gamma radiation [GO:0010332]; response to growth factor [GO:0070848]; response to xenobiotic stimulus [GO:0009410]	chromatin [GO:0000785]; Myc-Max complex [GO:0071943]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]	core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator binding [GO:0001221]; transcription regulator activator activity [GO:0140537]	6414718; 6321164; 6298632; 6304538; 6419122; 6304729; 6547209; 6714223; 8444346; 14702039; 16421571; 15489334; 3540591; 2166998; 1597196; 8220424; 8386367; 7642555; 9315742; 15103331; 16126174; 15723054; 15674325; 17081983; 17632056; 18035408; 17873522; 17311883; 17308053; 17558397; 18669648; 19413330; 19608861; 20713526; 20010808; 19966300; 20551172; 20068231; 21406692; 22307329; 23186163; 24940000; 25956029; 25803737; 25438055; 25775507; 28112733; 29779948; 34342803; 9680483; 2069907
MYC	A0A024R9L7	unreviewed	A0A024R9L7_HUMAN	Myc proto-oncogene protein	MYC hCG_15917	Homo sapiens (Human)	439	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]		nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]	11181995
MYC	A0A087WUS5	unreviewed	A0A087WUS5_HUMAN	Myc proto-oncogene protein	MYC	Homo sapiens (Human)	454	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]		nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]	17081983; 16421571; 18669648; 19413330; 19608861; 20068231; 21406692; 23186163; 28112733
MYC	A0A0B4J1R1	unreviewed	A0A0B4J1R1_HUMAN	Myc proto-oncogene protein (V-myc myelocytomatosis viral oncogene homolog (Avian), isoform CRA_b)	MYC hCG_15917	Homo sapiens (Human)	257	nucleoplasm [GO:0005654]; DNA-binding transcription factor activity [GO:0003700]		nucleoplasm [GO:0005654]	DNA-binding transcription factor activity [GO:0003700]	11181995; 17081983; 16421571; 18669648; 19608861; 20068231; 21406692; 23186163; 28112733
MYC	A0A224B085	unreviewed	A0A224B085_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	10					28860565
MYC	A0A494C1T8	unreviewed	A0A494C1T8_HUMAN	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Homo sapiens (Human)	339	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]		nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]	16421571
MYC	A0N2G3	unreviewed	A0N2G3_HUMAN	C-myc protein	MYC	Homo sapiens (Human)	248	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	3517879
MYC	B0B0N9	unreviewed	B0B0N9_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ63	unreviewed	B3CJ63_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ64	unreviewed	B3CJ64_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	16697040; 23673335
MYC	B3CJ65	unreviewed	B3CJ65_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	16697040; 23673335
MYC	B3CJ66	unreviewed	B3CJ66_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ69	unreviewed	B3CJ69_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ71	unreviewed	B3CJ71_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	262	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ72	unreviewed	B3CJ72_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ73	unreviewed	B3CJ73_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ74	unreviewed	B3CJ74_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ75	unreviewed	B3CJ75_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ76	unreviewed	B3CJ76_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ77	unreviewed	B3CJ77_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ78	unreviewed	B3CJ78_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ81	unreviewed	B3CJ81_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ82	unreviewed	B3CJ82_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ86	unreviewed	B3CJ86_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ87	unreviewed	B3CJ87_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ88	unreviewed	B3CJ88_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ89	unreviewed	B3CJ89_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ90	unreviewed	B3CJ90_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ91	unreviewed	B3CJ91_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ92	unreviewed	B3CJ92_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ93	unreviewed	B3CJ93_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJ94	unreviewed	B3CJ94_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJA1	unreviewed	B3CJA1_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJA3	unreviewed	B3CJA3_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJA4	unreviewed	B3CJA4_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJA7	unreviewed	B3CJA7_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJA8	unreviewed	B3CJA8_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJA9	unreviewed	B3CJA9_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJB0	unreviewed	B3CJB0_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJB1	unreviewed	B3CJB1_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJB2	unreviewed	B3CJB2_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJB3	unreviewed	B3CJB3_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJB8	unreviewed	B3CJB8_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJB9	unreviewed	B3CJB9_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJC0	unreviewed	B3CJC0_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJC6	unreviewed	B3CJC6_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJC7	unreviewed	B3CJC7_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJC8	unreviewed	B3CJC8_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD1	unreviewed	B3CJD1_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD2	unreviewed	B3CJD2_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD3	unreviewed	B3CJD3_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD5	unreviewed	B3CJD5_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	272	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD6	unreviewed	B3CJD6_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	257	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD7	unreviewed	B3CJD7_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD8	unreviewed	B3CJD8_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJD9	unreviewed	B3CJD9_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	267	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	B3CJE0	unreviewed	B3CJE0_HUMAN	V-myc myelocytomatosis viral oncogene homolog	MYC	Homo sapiens (Human)	252	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	23673335
MYC	H0YBG3	unreviewed	H0YBG3_HUMAN	Myc proto-oncogene protein	MYC	Homo sapiens (Human)	184	DNA-binding transcription factor activity [GO:0003700]			DNA-binding transcription factor activity [GO:0003700]	17081983; 16421571; 18669648; 19608861; 20068231; 21406692; 23186163; 28112733
MYC	H0YBT0	unreviewed	H0YBT0_HUMAN	Myc proto-oncogene protein	MYC	Homo sapiens (Human)	453	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]		nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]	17081983; 16421571; 18669648; 19413330; 19608861; 20068231; 21406692; 23186163; 28112733
MYC	Q14899	unreviewed	Q14899_HUMAN	Myc proto-oncogene protein (Myc-related translation/localization regulatory factor) (ORF 114)	MYC MRTL	Homo sapiens (Human)	114	membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleoplasmic reticulum [GO:0044195]; rough endoplasmic reticulum [GO:0005791]; eukaryotic initiation factor eIF2 binding [GO:0071074]; mRNA binding [GO:0003729]; positive regulation of translation [GO:0045727]	positive regulation of translation [GO:0045727]	membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleoplasmic reticulum [GO:0044195]; rough endoplasmic reticulum [GO:0005791]	eukaryotic initiation factor eIF2 binding [GO:0071074]; mRNA binding [GO:0003729]	3540591; 16421571; 18816594
MYC	Q14901	unreviewed	Q14901_HUMAN	Myc protein	MYC	Homo sapiens (Human)	188	nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]	regulation of DNA-templated transcription [GO:0006355]	nucleus [GO:0005634]	DNA binding [GO:0003677]	2834731
MYC	Q16591	unreviewed	Q16591_HUMAN	Myc protein (Myc proto-oncogene protein) (ORF 118)	MYC	Homo sapiens (Human)	188					6324175; 6714223; 3778453; 2430795; 3540591; 3243428; 2834731; 16421571
LMO7	Q8WWI1	reviewed	LMO7_HUMAN	LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)	LMO7 FBX20 FBXO20 KIAA0858	Homo sapiens (Human)	1683	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	11935316; 15057823; 10048485; 12168954; 10531035; 9826547; 17081983; 16964243; 17924679; 18220336; 18691976; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 28112733; 16959974
LMO7	A0A0A0MTE2	unreviewed	A0A0A0MTE2_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	1385	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 17081983; 16964243; 17924679; 18220336; 18691976; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 28112733
LMO7	A0A8V8TKQ1	unreviewed	A0A8V8TKQ1_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	1390					15057823
LMO7	E9PJ10	unreviewed	E9PJ10_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	191	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 17081983; 16964243; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569
LMO7	E9PK58	unreviewed	E9PK58_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	165	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 16964243; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569
LMO7	E9PLU6	unreviewed	E9PLU6_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	121	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 16964243; 18669648; 19690332; 20068231; 21406692; 22814378; 23186163; 24275569
LMO7	E9PMJ6	unreviewed	E9PMJ6_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	12					15057823; 22814378
LMO7	E9PMP7	unreviewed	E9PMP7_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	1045	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 17081983; 16964243; 18691976; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 28112733
LMO7	E9PMS6	unreviewed	E9PMS6_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	1275	membrane [GO:0016020]; metal ion binding [GO:0046872]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	membrane [GO:0016020]	metal ion binding [GO:0046872]	15057823; 17081983; 16964243; 17924679; 18220336; 18691976; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 28112733
LMO7	E9PMT2	unreviewed	E9PMT2_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	1398	metal ion binding [GO:0046872]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]		metal ion binding [GO:0046872]	15057823; 17081983; 16964243; 17924679; 18220336; 18691976; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 28112733
LMO7	E9PRE3	unreviewed	E9PRE3_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	141	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 22814378; 24275569
LMO7	E9PRJ0	unreviewed	E9PRJ0_HUMAN	LIM domain only protein 7	LMO7	Homo sapiens (Human)	165	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]			15057823; 22814378; 24275569
